0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,3,5,7,8,8,9,11,13,14,14,13,12,10,8,7,7,7,7,7,7,6,7,7,8,9,10,11,10,10,10,11,12,13,14,14,13,12,10,9,8,7,7,7,7,7,8,9,11,12,14,15,15,15,14,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,12,12,12,11,11,11,11,11,10,10,10,11,11,11,11,10,10,10,9,10,11,11,11,11,11,10,10,10,10,11,11,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,1,2,5,7,10,11,12,11,10,11,12,13,13,12,10,8,7,5,6,7,8,8,8,9,9,9,10,12,12,12,12,11,11,11,12,14,14,14,13,12,11,9,9,8,7,7,7,7,7,8,10,12,13,14,15,15,14,14,14,13,13,13,14,14,13,13,13,13,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,13,13,13,13,13,12,12,12,12,12,12,12,12,13,13,13,13,13,12,12,12,12,13,12,12,12,12,12,12,11,11,11,11,12,12,13,12,12,11,11,11,12,12,12,12,12,12,11,10,9,9,10,10,10,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,0,2,4,8,11,14,14,14,12,11,10,10,11,12,12,12,11,10,9,9,9,10,11,11,11,12,12,13,13,14,14,13,13,12,11,12,13,14,14,14,13,12,11,10,10,9,7,6,6,6,6,7,10,12,13,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,14,14,13,13,13,13,12,12,12,13,14,13,13,13,13,13,12,12,12,12,12,12,12,13,13,14,14,14,12,11,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,9,9,8,9,9,9,9,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,0,2,4,8,11,15,17,17,15,12,10,10,10,11,12,13,14,14,14,14,14,13,13,12,12,13,13,13,13,13,13,13,12,13,13,12,12,13,14,15,14,14,12,11,11,11,10,9,8,7,6,5,5,7,9,12,14,15,16,15,15,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,14,14,13,13,13,13,13,14,15,15,14,14,14,13,13,12,12,11,11,11,12,12,12,13,13,13,12,11,10,10,11,12,12,12,12,13,13,13,13,14,14,14,13,13,13,13,14,13,13,13,13,13,14,14,13,12,11,9,9,8,9,9,9,9,9,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,5,8,12,16,17,17,15,12,9,9,10,11,12,14,16,17,18,19,18,17,15,14,14,13,13,12,11,11,10,10,11,11,11,12,12,12,13,15,15,15,15,14,12,11,11,10,9,8,7,7,7,6,8,10,13,15,16,16,16,15,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,13,14,14,15,15,15,14,14,14,13,12,12,11,11,11,11,11,12,12,13,13,12,12,11,11,11,12,13,13,13,13,13,14,14,14,14,14,14,13,13,14,14,14,13,13,13,14,14,14,14,12,11,9,8,8,8,9,9,9,9,9,9,10,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,4,4,6,8,11,14,15,15,13,11,10,10,11,12,13,14,16,18,19,20,20,19,17,16,15,14,13,12,10,9,8,8,9,9,10,11,12,12,12,13,14,15,16,16,14,13,11,11,11,10,9,8,7,8,9,10,11,13,14,15,16,15,15,14,14,15,15,16,16,16,16,16,15,15,15,15,15,14,14,14,13,13,13,14,15,15,15,14,13,13,13,13,13,12,12,11,11,11,11,11,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,14,14,14,14,14,14,14,15,15,14,14,12,10,9,8,8,8,8,9,10,10,10,10,10,11,12,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,2,4,5,6,8,9,11,12,12,12,12,11,11,11,11,12,13,14,15,16,16,17,17,18,17,17,16,15,13,12,11,9,8,8,8,8,9,10,11,12,12,13,13,13,14,14,14,14,13,12,12,12,11,10,9,9,9,10,11,11,13,14,15,15,15,15,15,15,16,16,16,16,16,16,15,15,15,14,14,14,14,14,14,14,14,14,15,15,15,14,14,13,13,12,13,13,12,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,15,15,15,15,15,15,15,15,16,16,16,15,15,14,15,15,15,15,15,15,14,13,12,10,9,9,8,8,9,9,10,10,10,10,11,11,11,11,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,8,9,11,11,11,11,11,11,11,11,11,11,11,12,13,14,14,14,14,15,15,15,15,15,15,14,13,12,11,10,9,8,8,8,8,8,9,10,12,13,14,13,12,12,12,12,13,13,13,12,12,12,12,11,11,10,10,12,13,15,16,16,16,16,16,16,16,16,16,16,15,15,14,14,15,15,15,14,14,14,14,14,14,14,15,15,15,15,14,14,13,13,13,12,13,13,13,13,12,12,12,12,12,12,12,13,13,13,14,14,14,14,15,15,15,16,16,16,17,17,17,16,15,15,14,15,15,15,15,15,14,12,11,10,10,9,9,9,9,9,9,10,10,11,11,11,11,11,10,9,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,8,9,9,10,11,11,11,11,10,10,10,11,12,13,13,14,13,13,14,14,14,13,13,13,13,13,13,12,12,11,10,10,9,9,9,10,10,9,9,9,8,9,11,13,15,14,13,11,11,11,12,12,13,13,13,13,13,13,12,11,12,13,15,16,18,18,18,17,16,16,16,16,16,15,14,14,14,14,15,15,15,15,14,14,14,14,14,15,15,15,15,15,14,14,13,12,12,12,12,13,13,12,12,12,12,12,12,12,12,13,13,13,13,14,14,15,16,16,16,16,17,17,16,16,15,15,14,14,15,15,15,16,15,14,12,11,10,10,10,10,10,9,9,9,9,10,11,11,11,11,11,10,9,9,9,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,8,10,11,11,11,11,11,11,11,10,10,9,10,12,14,15,16,16,15,14,13,13,13,12,12,11,11,11,11,11,11,11,10,9,9,10,11,12,13,13,13,13,11,11,11,13,14,15,15,14,12,11,12,12,13,14,14,14,14,13,13,13,12,14,15,17,18,19,18,18,17,17,17,17,16,15,14,13,13,13,14,14,15,14,14,14,14,15,15,15,16,15,15,15,14,14,13,13,12,12,12,13,13,13,13,13,13,12,12,12,12,13,12,13,13,13,14,15,16,17,17,17,17,17,16,15,15,14,14,14,15,15,16,16,15,14,12,10,10,10,10,10,10,9,9,9,9,9,10,10,10,10,10,10,10,9,9,9,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,8,10,12,13,13,12,12,11,11,10,10,10,10,11,12,13,14,15,15,15,14,13,12,12,12,12,12,11,11,11,11,12,12,13,13,12,11,12,14,16,17,17,17,17,17,16,15,15,15,16,16,16,15,14,14,14,14,15,15,15,14,14,14,14,14,15,16,17,18,18,18,17,17,16,16,16,16,15,14,13,13,13,13,14,14,14,14,14,15,16,16,17,17,16,15,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,16,17,17,17,17,16,15,15,14,14,15,15,16,16,16,15,14,12,10,9,9,10,10,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,8,9,11,12,13,13,12,12,12,11,11,11,11,11,12,12,13,14,14,14,14,13,12,12,12,11,11,12,12,13,13,13,13,13,13,14,14,16,16,16,18,19,18,18,18,19,19,19,18,17,17,17,17,17,16,15,15,15,15,16,16,16,16,15,15,15,16,16,17,17,17,17,17,16,16,15,15,15,14,14,13,14,14,15,14,14,13,13,14,14,15,16,17,18,17,16,15,14,14,14,14,13,13,12,13,13,13,13,13,13,13,13,13,13,14,14,13,13,13,12,13,14,14,15,16,16,16,15,15,15,15,15,15,16,16,17,16,16,14,13,12,10,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,10,10,11,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,9,11,11,12,13,13,13,11,11,11,11,12,12,12,13,13,13,13,13,14,14,13,13,13,12,12,11,11,11,12,13,13,14,14,14,14,14,14,15,16,17,18,18,18,18,18,18,18,18,17,16,15,15,16,17,16,16,15,14,14,16,16,17,16,16,15,15,15,16,16,16,16,15,15,14,14,14,14,14,13,13,13,13,15,16,16,15,14,14,14,15,16,16,17,17,16,15,14,13,13,13,13,13,12,12,13,13,14,14,14,14,13,13,13,13,13,13,12,12,12,12,13,14,15,15,15,15,15,15,14,15,15,15,15,16,17,17,17,16,15,13,11,10,8,7,7,8,9,10,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,10,10,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,10,12,13,13,13,13,13,12,11,11,11,12,13,13,14,13,13,13,12,12,12,13,13,13,13,13,13,12,11,11,12,12,13,13,13,13,13,14,14,14,15,16,17,17,18,18,17,17,15,14,12,10,10,11,12,13,14,14,14,13,12,12,14,15,15,15,15,14,14,14,14,14,14,13,13,12,12,13,13,13,13,12,12,12,14,15,16,16,15,15,15,16,16,16,15,15,14,14,13,12,12,13,13,13,13,13,13,13,14,14,14,14,13,12,11,10,10,10,9,9,10,11,13,14,15,15,15,15,15,15,15,16,16,16,16,17,17,18,18,17,15,12,11,9,8,7,7,8,9,11,11,10,10,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11,10,10,9,9,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,5,8,11,13,14,14,14,13,12,11,11,11,12,13,13,13,13,13,12,12,11,11,12,12,13,13,12,13,13,13,12,12,13,13,13,13,13,13,13,14,14,15,15,16,16,17,17,17,16,14,12,9,6,4,4,5,6,8,8,9,9,9,9,9,11,12,13,14,13,13,12,12,11,11,11,11,11,11,11,11,12,13,13,14,13,13,13,14,15,15,15,16,16,16,16,15,14,13,13,13,13,14,13,12,12,12,13,13,13,13,13,13,13,12,11,11,10,8,7,6,6,6,8,10,12,13,14,14,15,15,15,16,16,16,17,17,17,17,17,18,17,16,13,11,9,8,8,8,8,8,9,10,11,11,11,11,10,10,11,11,11,11,10,11,11,12,12,12,11,11,10,10,9,9,8,8,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,3,6,10,13,14,15,14,12,11,11,11,11,12,13,13,13,13,12,11,11,10,10,11,11,12,12,12,12,12,12,12,13,13,14,15,15,15,14,14,14,15,15,15,15,15,15,15,15,14,13,11,8,6,4,4,3,4,4,5,3,2,3,4,4,4,7,9,11,12,12,12,11,10,9,9,9,9,10,10,10,11,11,11,12,13,13,13,13,13,13,14,14,15,15,15,14,13,12,12,11,12,12,13,13,13,12,12,12,12,12,12,12,11,10,10,9,9,8,7,6,6,6,7,8,10,12,13,13,14,14,15,15,16,16,16,16,16,17,17,17,17,17,16,13,10,8,7,8,8,9,9,9,10,11,11,12,12,12,12,12,12,12,12,11,10,10,10,11,11,11,11,9,8,8,9,9,8,8,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,7,10,14,15,15,13,11,10,11,11,12,12,12,12,12,11,11,10,9,9,10,11,11,12,12,12,12,12,13,13,14,14,15,15,16,16,16,15,15,15,15,14,14,13,12,11,11,10,9,8,6,4,4,5,6,6,6,6,4,3,3,4,3,3,4,6,8,10,11,12,11,10,9,8,6,7,8,9,11,10,10,10,11,12,12,13,13,13,13,13,14,15,15,14,13,11,10,10,10,10,10,10,11,12,12,12,12,12,12,11,11,10,9,9,8,8,8,7,7,7,8,9,11,12,13,13,14,14,14,15,15,15,15,15,15,15,16,17,17,16,16,15,12,10,8,8,8,8,8,8,9,9,10,12,12,13,13,13,13,13,13,12,11,10,9,9,9,9,10,10,9,8,7,7,8,8,9,9,9,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,5,8,11,13,14,14,13,12,11,12,12,12,12,11,10,10,11,11,11,10,11,11,12,12,13,13,14,14,14,14,15,15,16,16,16,16,16,16,15,14,13,12,12,11,10,9,8,8,8,7,7,6,6,5,6,6,6,6,6,6,5,5,5,4,3,3,4,6,8,10,11,12,11,10,8,6,5,5,7,9,11,11,11,11,12,13,14,14,15,15,14,14,14,14,13,12,9,8,8,9,10,10,9,9,9,10,10,11,11,11,11,10,9,9,9,9,9,9,9,9,10,11,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,15,15,14,13,11,9,9,9,9,8,7,7,8,10,11,13,13,13,13,13,13,13,13,12,11,10,9,8,8,8,9,8,8,7,7,7,7,8,9,9,9,9,9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,2,2,2,1,3,5,7,8,10,12,13,14,13,13,13,13,13,12,10,10,10,11,11,12,12,12,13,13,13,13,14,14,15,15,15,15,16,16,16,15,14,14,13,13,12,10,9,8,8,8,8,8,7,8,8,9,9,10,10,9,9,7,6,5,4,4,5,5,4,4,4,4,4,5,6,8,10,11,11,10,9,8,6,4,5,8,10,11,12,12,13,14,14,15,16,15,15,14,13,12,11,10,9,8,9,10,10,9,8,8,7,8,8,9,9,9,9,9,8,8,9,9,10,10,10,11,12,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,13,13,12,11,10,10,10,8,7,7,8,9,11,13,13,14,14,14,14,13,13,12,11,10,9,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,3,3,2,4,6,8,9,10,11,11,12,13,13,13,14,14,13,11,11,10,11,12,13,13,13,14,14,15,15,15,15,15,15,15,15,15,14,14,14,13,11,10,10,9,8,8,7,7,7,7,8,9,10,11,11,12,12,13,13,13,12,11,9,7,6,4,4,4,4,4,4,4,6,6,7,8,9,10,10,11,10,9,7,4,4,5,8,9,11,12,13,14,14,15,15,14,14,13,12,10,9,8,8,8,9,10,9,9,8,7,7,7,7,7,8,8,8,7,7,7,8,9,10,10,11,11,12,12,13,13,14,14,14,14,15,15,14,14,14,15,15,15,15,15,15,14,14,14,13,12,12,11,11,10,10,9,8,7,8,9,11,13,14,14,14,14,14,13,12,12,11,10,9,8,8,8,8,8,8,8,8,8,8,9,9,9,8,8,9,9,9,8,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,3,5,5,5,6,8,10,11,12,13,13,13,13,13,13,13,13,12,12,12,13,13,13,13,13,13,14,15,15,16,16,16,16,15,15,15,14,13,12,12,11,10,8,7,6,6,7,9,9,10,10,10,11,12,13,14,14,14,14,15,15,15,14,14,13,12,10,9,7,5,4,4,4,4,6,7,8,9,9,9,10,10,10,10,8,7,5,6,7,8,9,10,12,13,14,14,14,13,12,12,11,10,9,8,8,8,8,9,9,8,8,7,7,7,7,7,8,7,7,7,7,7,7,7,8,9,10,10,11,12,12,12,12,12,12,13,13,14,14,14,14,14,15,15,15,15,14,14,14,13,13,13,12,11,11,11,10,9,8,7,8,9,11,13,14,15,14,14,13,13,12,11,10,10,9,8,8,8,8,8,8,7,7,8,8,8,8,8,8,8,9,9,9,9,8,8,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,3,6,7,8,9,9,10,11,12,13,14,14,14,14,14,13,13,12,12,13,14,15,15,15,14,14,14,15,15,16,16,17,16,15,14,14,13,13,13,12,11,9,8,7,6,6,6,8,10,12,14,15,15,16,15,15,15,15,15,15,15,15,15,15,16,16,15,14,12,11,10,9,7,6,6,6,7,8,9,10,10,10,10,10,10,9,8,7,6,7,7,8,9,10,12,14,14,14,13,12,10,10,10,10,9,8,8,8,8,8,8,8,7,7,7,8,8,8,8,8,8,7,7,7,8,7,7,8,9,10,11,11,11,10,10,10,11,12,13,13,13,13,13,14,15,14,14,14,14,14,14,13,13,12,12,12,11,11,10,8,7,7,8,10,12,13,14,15,14,13,12,11,11,10,10,10,10,9,9,8,9,9,8,8,8,7,7,7,7,7,8,8,9,9,9,8,8,8,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,3,4,6,7,9,11,12,12,11,11,11,12,14,15,15,15,14,14,13,13,14,15,16,16,16,16,16,16,16,16,16,16,16,15,15,14,13,12,12,12,12,11,10,10,9,9,8,8,9,10,13,15,18,19,19,19,18,17,16,15,15,15,15,15,15,15,16,16,16,16,15,14,13,13,13,11,10,9,8,8,9,10,11,11,10,10,10,9,8,8,7,6,5,6,7,8,10,12,13,14,14,12,11,10,11,11,10,9,8,8,8,8,8,8,7,7,7,7,8,8,8,8,8,7,7,7,7,7,7,7,8,9,11,11,11,11,10,10,10,11,12,12,12,12,13,14,14,14,13,14,14,14,14,14,13,12,12,12,11,11,10,9,7,6,7,8,9,11,13,14,14,13,12,11,11,10,10,10,10,10,9,9,9,8,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,4,5,7,9,10,11,11,12,12,12,11,11,12,13,14,14,15,15,14,14,14,15,15,16,16,16,15,16,16,16,16,17,16,15,14,13,13,12,13,13,13,13,13,12,12,12,11,12,12,12,13,14,15,17,19,20,21,20,19,18,17,16,15,15,15,16,16,16,16,16,16,16,15,15,14,14,15,15,15,13,12,10,10,9,10,10,9,8,8,7,7,8,8,8,7,6,6,7,9,11,12,13,14,13,12,12,12,12,10,9,8,8,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,9,10,12,12,13,12,12,11,11,11,11,12,12,12,12,13,13,13,13,14,14,15,14,14,13,12,12,12,12,12,11,10,9,8,7,7,8,10,11,12,13,13,12,11,11,10,10,10,10,10,9,9,8,8,7,6,7,7,7,8,8,8,7,7,7,7,7,7,7,8,8,8,9,9,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,6,9,11,12,13,13,13,12,12,12,12,12,14,15,15,15,15,14,14,15,16,16,16,15,15,15,15,15,16,15,15,14,14,13,12,11,11,12,13,14,15,15,15,14,14,14,14,15,15,15,15,16,17,18,18,19,19,19,18,17,17,16,16,16,16,16,16,16,16,16,16,15,15,14,14,14,15,15,15,15,14,14,12,11,11,10,9,8,6,6,6,7,8,9,9,9,8,9,9,10,12,12,13,13,12,12,12,11,11,9,8,8,8,7,7,5,5,5,5,5,4,5,5,5,5,6,8,8,9,9,9,10,11,12,13,14,14,14,14,13,12,12,12,12,12,12,12,12,12,12,13,14,14,15,15,14,13,12,11,11,12,12,11,10,9,9,8,8,8,8,10,11,12,12,12,11,11,10,10,10,10,9,10,10,10,9,8,7,7,7,8,8,8,9,8,8,7,7,7,7,7,7,7,7,7,8,8,8,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,7,10,12,14,15,15,15,13,13,13,13,14,15,16,17,17,16,15,15,15,16,16,16,16,15,15,16,16,16,15,13,12,11,11,11,11,12,12,13,14,15,16,16,16,15,15,15,15,16,17,17,17,17,17,18,18,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,14,14,14,14,14,14,14,14,14,13,13,12,12,11,9,7,6,6,7,8,8,9,9,10,10,11,12,12,12,12,12,11,11,11,11,11,10,9,9,9,8,8,7,5,5,5,4,4,4,5,5,5,6,8,9,10,11,11,12,12,12,13,13,14,15,15,15,14,13,13,14,14,13,13,13,13,13,14,14,15,15,14,13,12,12,11,11,12,12,11,10,10,10,9,9,8,8,8,9,11,12,12,12,11,10,9,9,9,9,10,10,10,10,10,9,8,7,7,8,9,9,9,8,8,8,8,8,7,7,7,7,7,7,8,7,7,6,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,9,11,13,16,16,16,15,14,14,14,14,15,15,16,16,16,16,15,16,16,16,16,16,15,15,15,16,16,15,12,10,9,9,9,10,11,13,14,15,15,15,15,16,16,16,15,15,15,16,17,17,17,16,17,17,17,16,16,15,15,15,15,16,16,16,16,16,15,15,15,15,16,16,15,15,14,14,13,14,14,14,14,14,13,13,13,13,12,12,10,9,8,8,7,7,7,7,8,10,11,12,12,12,12,11,10,10,10,10,10,10,10,9,9,9,8,8,8,7,7,7,6,5,6,7,7,7,8,9,10,11,12,12,13,13,13,13,14,14,15,15,15,14,15,15,15,15,14,14,14,14,14,15,15,14,13,12,12,11,11,11,11,12,11,11,11,11,10,9,8,8,8,9,10,12,12,12,11,10,9,8,9,9,10,10,10,10,10,10,9,8,7,7,8,8,8,8,9,9,9,9,9,8,8,8,7,7,7,7,7,6,6,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,10,13,15,16,15,15,15,15,15,15,15,16,16,16,16,16,16,15,15,16,16,16,15,15,14,14,14,14,12,10,8,9,10,11,12,14,15,16,16,16,15,15,15,15,16,16,16,16,16,16,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,16,16,15,15,14,14,14,15,15,15,15,14,13,13,12,13,13,12,12,11,10,9,7,6,5,6,7,9,10,11,11,11,10,9,8,8,9,10,10,9,9,8,7,7,8,8,8,8,8,7,6,7,7,8,8,9,9,9,10,11,12,13,14,14,14,15,15,15,15,15,14,15,16,16,16,15,14,14,14,15,15,14,14,13,12,12,11,11,12,12,12,11,11,11,11,12,11,10,9,9,9,10,12,12,12,11,11,10,10,10,10,9,9,9,9,9,10,10,10,9,7,7,7,7,8,9,9,10,10,10,9,9,8,8,7,6,6,6,6,6,7,6,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,12,14,15,14,14,14,14,15,15,16,16,16,16,16,16,16,16,16,15,15,16,15,14,13,13,13,12,11,9,8,8,9,11,13,15,16,16,17,17,16,16,15,15,14,15,16,16,16,16,16,16,17,17,17,16,16,16,16,15,16,16,16,16,16,16,15,15,16,16,16,16,16,16,15,15,15,15,15,16,15,15,15,15,14,13,13,12,12,12,12,12,12,12,11,10,9,7,6,6,7,7,8,8,9,9,8,8,8,8,9,9,9,8,7,7,6,7,7,7,7,7,7,7,7,7,8,8,9,9,9,10,10,12,13,14,15,16,16,16,16,16,16,15,16,16,16,16,15,15,15,15,15,15,14,14,13,13,13,12,12,13,13,12,11,11,10,11,11,11,11,10,10,10,11,12,12,12,12,11,10,10,10,10,10,10,9,8,8,8,9,10,10,9,8,8,8,8,8,8,9,9,9,9,9,8,8,7,5,5,4,5,6,7,7,6,6,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
